                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.4101,                 20.355,                 2.2286,                      0,                      0,                      0,                      0,                 5.1898,                 18.165,                 1.7005,             3.3019e-05,             3.3019e-05,             3.3019e-05
                      1,                 4.5093,                 8.0266,                 1.5451,                      0,                      0,                      0,                      0,                  3.939,                 6.8228,                 1.1586,             6.6356e-05,             6.6356e-05,             6.6356e-05
                      2,                 4.1349,                 6.3974,                 1.2691,                 0.0013,                0.02105,                0.00219,                0.00064,                 3.5545,                 5.8403,                 1.0769,             9.9359e-05,             9.9359e-05,             9.9359e-05
                      3,                 3.8625,                 5.7682,                 1.1871,                0.00526,                0.03976,                0.00885,                0.00264,                 3.3532,                 5.2169,                 1.0622,               9.95e-05,               9.95e-05,               9.95e-05
                      4,                 3.7034,                 5.3199,                 1.1547,                0.45886,                0.02523,                 0.0246,                0.00718,                 3.2062,                  4.582,                 1.0268,               9.95e-05,               9.95e-05,               9.95e-05
                      5,                 3.6239,                 4.8662,                 1.1406,                0.45887,                0.06511,                0.05422,                0.01386,                 3.2454,                 4.0104,                 1.0219,                9.9e-05,                9.9e-05,                9.9e-05
                      6,                 3.5751,                 4.5007,                 1.1134,                0.35746,                0.12182,                0.09854,                0.02849,                 3.0243,                 3.5261,                0.99965,               9.85e-05,               9.85e-05,               9.85e-05
                      7,                 3.4891,                  4.167,                 1.1023,                0.41744,                0.16355,                0.12864,                0.03746,                 3.0176,                 3.1995,                0.99491,                9.8e-05,                9.8e-05,                9.8e-05
                      8,                 3.4794,                 3.9245,                 1.1013,                0.41625,                0.20815,                0.16428,                0.04708,                 2.9096,                 2.9076,                0.98576,               9.75e-05,               9.75e-05,               9.75e-05
                      9,                 3.4243,                 3.7056,                 1.0945,                0.39913,                0.25064,                0.20942,                0.06063,                 2.8933,                 2.7013,                0.98028,                9.7e-05,                9.7e-05,                9.7e-05
                     10,                 3.4447,                 3.5637,                 1.0968,                0.36219,                0.29642,                0.24425,                0.06947,                 2.9038,                 2.5637,                0.97988,               9.65e-05,               9.65e-05,               9.65e-05
                     11,                 3.3836,                 3.4188,                 1.0619,                0.36842,                0.34251,                0.25706,                0.07259,                 2.8823,                 2.4652,                0.97695,                9.6e-05,                9.6e-05,                9.6e-05
                     12,                  3.387,                 3.3155,                 1.0776,                0.35596,                0.33339,                0.26327,                0.07367,                 2.9256,                 2.3533,                0.98167,             9.5501e-05,             9.5501e-05,             9.5501e-05
                     13,                 3.3216,                 3.1938,                 1.0607,                0.40871,                 0.3685,                0.28983,                0.08115,                  2.839,                 2.2702,                0.97177,             9.5001e-05,             9.5001e-05,             9.5001e-05
                     14,                 3.3359,                  3.127,                 1.0602,                0.39623,                0.40222,                0.31185,                0.08925,                 2.7978,                 2.2028,                0.96545,             9.4501e-05,             9.4501e-05,             9.4501e-05
                     15,                 3.3362,                 3.0787,                 1.0626,                0.39234,                0.38874,                0.31214,                0.08451,                 2.8599,                 2.1718,                0.96939,             9.4001e-05,             9.4001e-05,             9.4001e-05
                     16,                  3.326,                 2.9685,                 1.0569,                 0.3977,                0.41083,                0.31631,                0.09215,                 2.7955,                 2.1008,                 0.9623,             9.3501e-05,             9.3501e-05,             9.3501e-05
                     17,                 3.2754,                 2.9685,                 1.0557,                0.40316,                0.41261,                0.35363,                0.10348,                 2.7934,                 2.0439,                0.96046,             9.3001e-05,             9.3001e-05,             9.3001e-05
                     18,                 3.2546,                 2.9049,                 1.0594,                0.41737,                0.42753,                0.36037,                0.10357,                 2.7772,                 2.0367,                0.95756,             9.2501e-05,             9.2501e-05,             9.2501e-05
                     19,                  3.269,                 2.8754,                 1.0557,                0.40272,                0.43767,                 0.3665,                0.10567,                 2.7455,                 2.0459,                0.95351,             9.2001e-05,             9.2001e-05,             9.2001e-05
                     20,                 3.2012,                 2.7581,                 1.0384,                0.42236,                 0.4635,                0.39727,                0.12019,                 2.7075,                 1.9232,                 0.9486,             9.1501e-05,             9.1501e-05,             9.1501e-05
                     21,                 3.2055,                 2.7646,                 1.0392,                0.38178,                0.45096,                0.38893,                0.11493,                 2.7378,                 1.9239,                0.95022,             9.1001e-05,             9.1001e-05,             9.1001e-05
                     22,                 3.1978,                 2.7521,                 1.0442,                0.41535,                 0.4612,                0.41512,                0.12118,                 2.7182,                 1.8753,                0.94942,             9.0501e-05,             9.0501e-05,             9.0501e-05
                     23,                 3.1533,                 2.6895,                 1.0481,                0.43639,                0.45155,                0.39959,                0.11842,                 2.7725,                 1.8525,                0.95553,             9.0001e-05,             9.0001e-05,             9.0001e-05
                     24,                 3.1832,                 2.6115,                 1.0371,                0.43738,                0.47064,                0.42188,                0.12364,                 2.7148,                 1.8194,                0.94729,             8.9501e-05,             8.9501e-05,             8.9501e-05
                     25,                 3.1606,                 2.5925,                 1.0415,                0.47032,                 0.4746,                0.44571,                0.13252,                 2.7258,                 1.7719,                0.94782,             8.9001e-05,             8.9001e-05,             8.9001e-05
                     26,                 3.1252,                 2.5559,                 1.0344,                0.47082,                0.49688,                0.46186,                0.13798,                  2.697,                 1.7471,                0.94376,             8.8501e-05,             8.8501e-05,             8.8501e-05
                     27,                 3.1287,                 2.5178,                 1.0291,                0.48889,                0.49227,                 0.4712,                0.14008,                 2.7113,                 1.7327,                0.94125,             8.8001e-05,             8.8001e-05,             8.8001e-05
                     28,                 3.0994,                  2.451,                 1.0342,                0.50726,                0.50507,                0.48452,                0.15008,                 2.6613,                 1.6568,                0.93823,             8.7501e-05,             8.7501e-05,             8.7501e-05
                     29,                 3.1131,                 2.4706,                 1.0298,                0.52307,                0.51422,                0.50159,                0.14958,                  2.708,                 1.6503,                0.94566,             8.7001e-05,             8.7001e-05,             8.7001e-05
                     30,                 3.1351,                 2.5042,                 1.0344,                0.50489,                0.52114,                0.49554,                0.14907,                   2.69,                   1.64,                0.94297,             8.6501e-05,             8.6501e-05,             8.6501e-05
                     31,                 3.1096,                 2.4139,                 1.0329,                0.47155,                0.50674,                0.49247,                0.14515,                 2.6978,                 1.6238,                0.94093,             8.6001e-05,             8.6001e-05,             8.6001e-05
                     32,                  3.068,                 2.3753,                 1.0202,                0.49543,                0.52273,                0.50031,                0.15102,                 2.6874,                 1.5952,                0.93914,             8.5502e-05,             8.5502e-05,             8.5502e-05
                     33,                 3.1051,                 2.3657,                 1.0186,                0.54881,                0.54747,                0.53985,                0.16024,                 2.6605,                  1.574,                0.93881,             8.5002e-05,             8.5002e-05,             8.5002e-05
                     34,                 3.0982,                 2.3986,                 1.0154,                0.54242,                0.54628,                0.53942,                0.15883,                 2.6666,                 1.5386,                0.93762,             8.4502e-05,             8.4502e-05,             8.4502e-05
                     35,                 3.0955,                 2.3633,                 1.0176,                0.54423,                0.55691,                 0.5497,                0.16754,                  2.642,                 1.5113,                0.93663,             8.4002e-05,             8.4002e-05,             8.4002e-05
                     36,                 3.0499,                 2.3166,                 1.0224,                0.54639,                0.54307,                0.55154,                0.16798,                 2.6643,                 1.5041,                0.93863,             8.3502e-05,             8.3502e-05,             8.3502e-05
                     37,                 3.0376,                 2.3141,                 1.0063,                0.52476,                0.55991,                0.52853,                 0.1667,                 2.6539,                 1.5152,                0.93668,             8.3002e-05,             8.3002e-05,             8.3002e-05
                     38,                 3.0292,                 2.2608,                 1.0059,                0.52646,                0.58922,                 0.5566,                0.17207,                 2.6099,                 1.4702,                0.93391,             8.2502e-05,             8.2502e-05,             8.2502e-05
                     39,                 3.0606,                 2.2842,                  1.016,                0.55968,                0.59479,                0.56639,                0.16972,                 2.6459,                 1.4524,                 0.9369,             8.2002e-05,             8.2002e-05,             8.2002e-05
                     40,                 3.0568,                 2.2314,                 1.0089,                0.56305,                0.57057,                0.56624,                0.17209,                 2.6399,                 1.4542,                0.93435,             8.1502e-05,             8.1502e-05,             8.1502e-05
                     41,                   3.03,                 2.2039,                 1.0064,                0.50887,                0.56893,                0.52782,                 0.1595,                 2.6984,                 1.4773,                0.94283,             8.1002e-05,             8.1002e-05,             8.1002e-05
                     42,                 3.0158,                 2.1853,                 1.0048,                 0.5578,                0.59733,                0.56658,                 0.1755,                 2.6286,                 1.4301,                0.93215,             8.0502e-05,             8.0502e-05,             8.0502e-05
                     43,                 2.9896,                 2.2116,                  1.008,                0.57023,                 0.5773,                0.57073,                0.17436,                 2.6504,                 1.4398,                0.93257,             8.0002e-05,             8.0002e-05,             8.0002e-05
                     44,                 3.0093,                 2.1896,                 1.0013,                0.56307,                0.52684,                0.52605,                0.15624,                 2.6848,                 1.4454,                0.94034,             7.9502e-05,             7.9502e-05,             7.9502e-05
                     45,                 3.0263,                 2.2032,                 1.0229,                0.56869,                0.57422,                 0.5507,                0.16108,                 2.6637,                 1.4508,                0.93841,             7.9002e-05,             7.9002e-05,             7.9002e-05
                     46,                 3.0304,                 2.1535,                 1.0052,                0.56114,                0.59128,                0.57862,                0.17478,                 2.6099,                 1.4071,                0.93045,             7.8502e-05,             7.8502e-05,             7.8502e-05
                     47,                 3.0069,                 2.1392,                 1.0053,                 0.5988,                0.56755,                0.57194,                0.16705,                 2.6755,                 1.4145,                0.93974,             7.8002e-05,             7.8002e-05,             7.8002e-05
                     48,                 3.0217,                 2.1204,                0.99834,                0.58528,                0.54925,                0.56401,                0.17463,                 2.5941,                 1.3999,                0.93135,             7.7502e-05,             7.7502e-05,             7.7502e-05
                     49,                  2.992,                 2.1317,                 1.0073,                0.55395,                0.57477,                0.56087,                0.16664,                 2.6486,                 1.4197,                0.93253,             7.7002e-05,             7.7002e-05,             7.7002e-05
                     50,                 2.9687,                 2.1212,                0.99761,                0.58262,                0.60047,                0.59508,                0.18219,                 2.6284,                  1.385,                0.93158,             7.6502e-05,             7.6502e-05,             7.6502e-05
                     51,                 2.9679,                 2.1063,                0.99693,                0.61558,                0.59652,                  0.591,                0.17389,                 2.6575,                 1.3904,                0.93359,             7.6003e-05,             7.6003e-05,             7.6003e-05
                     52,                 2.9759,                 2.0919,                 1.0005,                0.56243,                0.56617,                0.56027,                0.16767,                  2.665,                  1.434,                0.93626,             7.5503e-05,             7.5503e-05,             7.5503e-05
                     53,                 2.9298,                 2.0849,                0.99081,                0.61269,                0.58205,                0.59551,                0.18122,                 2.6363,                  1.363,                0.93125,             7.5003e-05,             7.5003e-05,             7.5003e-05
                     54,                 2.9557,                 2.1104,                 1.0034,                0.58975,                0.56965,                0.57688,                0.17885,                 2.6374,                 1.3739,                0.93192,             7.4503e-05,             7.4503e-05,             7.4503e-05
                     55,                 2.9435,                  2.064,                 1.0038,                 0.6102,                0.58313,                 0.5796,                0.17611,                 2.6334,                 1.3694,                0.93197,             7.4003e-05,             7.4003e-05,             7.4003e-05
                     56,                 2.9592,                 2.0658,                0.99145,                0.62661,                0.59758,                0.61026,                0.18151,                 2.6236,                 1.3647,                0.93108,             7.3503e-05,             7.3503e-05,             7.3503e-05
                     57,                 2.9547,                  2.048,                0.99484,                0.60384,                0.59995,                0.60125,                0.18374,                 2.6247,                 1.3593,                0.92964,             7.3003e-05,             7.3003e-05,             7.3003e-05
                     58,                 2.9343,                 2.0519,                 1.0014,                0.61769,                0.62114,                0.60449,                0.18511,                 2.6479,                 1.3655,                 0.9336,             7.2503e-05,             7.2503e-05,             7.2503e-05
                     59,                 2.9696,                 2.0611,                0.99476,                0.62631,                0.61099,                0.60701,                0.18424,                  2.664,                 1.3604,                 0.9357,             7.2003e-05,             7.2003e-05,             7.2003e-05
                     60,                 2.9677,                 2.0302,                0.99634,                0.61645,                0.57983,                0.59456,                0.18377,                 2.6207,                 1.3546,                0.92985,             7.1503e-05,             7.1503e-05,             7.1503e-05
                     61,                 2.8972,                 1.9929,                0.98874,                0.61459,                0.58835,                0.59149,                0.18215,                 2.6329,                 1.3487,                0.93128,             7.1003e-05,             7.1003e-05,             7.1003e-05
                     62,                 2.9251,                 2.0614,                 1.0015,                0.60611,                0.60162,                 0.5957,                0.18511,                 2.6344,                 1.3426,                0.92919,             7.0503e-05,             7.0503e-05,             7.0503e-05
                     63,                  2.914,                 1.9621,                0.98132,                0.57528,                 0.5656,                0.57804,                0.18112,                  2.645,                 1.3729,                0.93402,             7.0003e-05,             7.0003e-05,             7.0003e-05
                     64,                 2.9113,                   1.99,                0.98379,                0.60646,                0.60614,                0.60637,                0.19006,                 2.6302,                 1.3334,                 0.9312,             6.9503e-05,             6.9503e-05,             6.9503e-05
                     65,                 2.9276,                 2.0093,                0.98093,                0.61809,                0.60924,                0.60312,                0.19063,                 2.6089,                 1.3236,                0.93143,             6.9003e-05,             6.9003e-05,             6.9003e-05
                     66,                 2.8966,                 1.9541,                  0.981,                0.58542,                0.61464,                0.59539,                0.18681,                 2.6204,                 1.3254,                0.93027,             6.8503e-05,             6.8503e-05,             6.8503e-05
                     67,                 2.8988,                  1.948,                0.98197,                0.57822,                0.61094,                 0.5929,                0.18255,                 2.6338,                  1.332,                0.93235,             6.8003e-05,             6.8003e-05,             6.8003e-05
                     68,                 2.8848,                 1.9806,                0.99242,                 0.6369,                0.63955,                0.61321,                0.19049,                 2.6192,                 1.2993,                0.93091,             6.7503e-05,             6.7503e-05,             6.7503e-05
                     69,                 2.8758,                 1.9128,                0.98112,                0.62945,                0.61073,                0.60542,                0.18601,                 2.6376,                 1.3281,                0.93363,             6.7003e-05,             6.7003e-05,             6.7003e-05
                     70,                 2.9321,                 1.9458,                0.97732,                0.59068,                0.57232,                 0.5731,                0.17598,                 2.6705,                 1.3824,                0.93657,             6.6503e-05,             6.6503e-05,             6.6503e-05
                     71,                 2.8829,                 1.9442,                0.98088,                0.61468,                0.60617,                0.60176,                0.18634,                 2.6265,                 1.3112,                0.92812,             6.6003e-05,             6.6003e-05,             6.6003e-05
                     72,                 2.8839,                 1.9721,                0.98793,                0.62088,                0.63364,                0.62274,                0.19634,                 2.5765,                 1.2923,                0.92512,             6.5504e-05,             6.5504e-05,             6.5504e-05
                     73,                 2.8919,                 1.9526,                0.98577,                0.62204,                0.60788,                0.59579,                0.18735,                  2.588,                 1.3002,                0.92534,             6.5004e-05,             6.5004e-05,             6.5004e-05
                     74,                 2.8439,                 1.8949,                0.97947,                0.64716,                0.61028,                 0.6079,                0.18532,                 2.6206,                 1.3521,                0.92888,             6.4504e-05,             6.4504e-05,             6.4504e-05
                     75,                 2.8467,                 1.8954,                0.99243,                0.62611,                0.61637,                0.60575,                0.18976,                  2.589,                 1.3114,                0.92915,             6.4004e-05,             6.4004e-05,             6.4004e-05
                     76,                 2.8651,                   1.89,                0.97813,                0.63288,                0.62318,                0.62171,                0.19325,                 2.6002,                  1.309,                0.92959,             6.3504e-05,             6.3504e-05,             6.3504e-05
