                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.5174,                 11.794,                 1.9912,                      0,                      0,                      0,                      0,                 4.9033,                 8.0661,                  1.446,              2.525e-05,              2.525e-05,              2.525e-05
                      1,                 4.9045,                 7.9883,                 1.5423,                      0,                      0,                      0,                      0,                 4.4508,                 6.5633,                 1.1131,              4.896e-05,              4.896e-05,              4.896e-05
                      2,                 4.4403,                 6.7393,                 1.2527,                      0,                      0,                      0,                      0,                 4.0292,                 6.2848,                 1.0411,             7.0071e-05,             7.0071e-05,             7.0071e-05
                      3,                 4.2595,                 6.3525,                 1.1623,                      0,                      0,                      0,                      0,                 3.8991,                 6.1655,                 1.0305,             8.6001e-05,             8.6001e-05,             8.6001e-05
                      4,                 4.1148,                 6.1736,                 1.1204,                      0,                      0,                      0,                      0,                 3.9387,                 6.0782,                  1.055,             8.6001e-05,             8.6001e-05,             8.6001e-05
                      5,                 3.9668,                 6.0539,                 1.0949,                      0,                      0,                      0,                      0,                 3.8633,                 5.9168,                 1.0449,             8.1002e-05,             8.1002e-05,             8.1002e-05
                      6,                 3.9546,                 5.9697,                 1.0749,                      0,                      0,                      0,                      0,                 3.6449,                 5.7475,                 1.0047,             7.6003e-05,             7.6003e-05,             7.6003e-05
                      7,                 3.9136,                  5.883,                 1.0629,                0.00125,                 0.0044,                0.00224,                0.00075,                 3.5769,                 5.5945,                0.99051,             7.1003e-05,             7.1003e-05,             7.1003e-05
                      8,                 3.8394,                  5.755,                 1.0509,                0.00084,                0.01999,                0.00282,                0.00083,                 3.5347,                 5.4383,                0.98499,             6.6003e-05,             6.6003e-05,             6.6003e-05
                      9,                  3.777,                 5.6436,                 1.0435,                0.00287,                0.05139,                0.00632,                0.00133,                 3.4712,                 5.2325,                0.97755,             6.1004e-05,             6.1004e-05,             6.1004e-05
                     10,                 3.7785,                 5.8107,                 1.0655,                0.00422,                0.06442,                0.00922,                 0.0017,                 3.5392,                 5.1125,                0.97882,             5.6005e-05,             5.6005e-05,             5.6005e-05
                     11,                 3.6902,                 5.7084,                 1.0647,                  0.004,                0.07662,                   0.01,                0.00207,                  3.475,                 4.9839,                0.96272,             5.1005e-05,             5.1005e-05,             5.1005e-05
                     12,                 3.7425,                 5.6413,                 1.0514,                0.00466,                0.07979,                0.00927,                0.00272,                 3.4994,                 4.8848,                0.96544,             4.6005e-05,             4.6005e-05,             4.6005e-05
                     13,                 3.6565,                 5.5095,                 1.0495,                0.33837,                0.03159,                0.01543,                0.00403,                 3.4219,                 4.7667,                0.95892,             4.1006e-05,             4.1006e-05,             4.1006e-05
                     14,                 3.6302,                 5.4629,                 1.0441,                0.34857,                0.02497,                0.01447,                0.00427,                  3.412,                 4.7074,                0.95739,             3.6007e-05,             3.6007e-05,             3.6007e-05
                     15,                 3.6385,                 5.4253,                 1.0463,                0.37075,                0.02632,                 0.0169,                0.00443,                 3.4289,                 4.6511,                0.95783,             3.1007e-05,             3.1007e-05,             3.1007e-05
                     16,                 3.6321,                 5.3197,                 1.0445,                0.30441,                0.03776,                0.01836,                0.00473,                 3.4144,                 4.5972,                0.95483,             2.6008e-05,             2.6008e-05,             2.6008e-05
                     17,                 3.6239,                 5.3298,                 1.0458,                0.35261,                0.03896,                0.02202,                0.00539,                 3.3783,                 4.5442,                0.95237,             2.1008e-05,             2.1008e-05,             2.1008e-05
                     18,                 3.6467,                 5.2818,                  1.038,                0.45735,                0.02332,                0.02295,                0.00587,                 3.3624,                 4.5124,                0.95097,             1.6009e-05,             1.6009e-05,             1.6009e-05
                     19,                 3.6269,                 5.2843,                 1.0391,                0.44403,                0.02307,                0.02278,                0.00575,                 3.3595,                  4.488,                0.94998,             1.1009e-05,             1.1009e-05,             1.1009e-05
